species,decimalLongitude,decimalLatitude,country
Psittacus erithacus,12.804165,0.514602,Gabon
Psittacus erithacus,13.666919,0.068045,Gabon
Psittacus erithacus,12.733369,3.382918,Cameroon
Psittacus erithacus,32.81982,0.280074,Uganda
Psittacus erithacus,9.424553,-1.975431,Gabon
Psittacus erithacus,13.697392,0.117665,Gabon
Psittacus erithacus,13.672855,0.077474,Gabon
Psittacus erithacus,32.819447,0.280048,Uganda
Psittacus erithacus,33.20291,0.443892,Uganda
Psittacus erithacus,13.654211,0.064251,Gabon
Psittacus erithacus,11.351519,3.848575,Cameroon
Psittacus erithacus,13.679944,-0.615107,Gabon
Psittacus erithacus,32.8198,0.280035,Uganda
Psittacus erithacus,8.708877,-0.627949,Gabon
Psittacus erithacus,8.718898,-0.692771,Gabon
Psittacus erithacus,32.822094,0.281023,Uganda
Psittacus erithacus,9.412092,-1.738119,Gabon
Psittacus erithacus,13.216648,0.340228,Gabon
Psittacus erithacus,-7.456382,5.871872,Côte d’Ivoire
Psittacus erithacus,32.33483,0.222564,Uganda
Psittacus erithacus,30.405218,0.392118,Uganda
Psittacus erithacus,7.443083,1.684773,Sao Tome and Principe
Psittacus erithacus,30.410606,0.395798,Uganda
Psittacus erithacus,7.422167,1.638861,Sao Tome and Principe
Psittacus erithacus,30.328836,0.497204,Uganda
Psittacus erithacus,32.69382,0.368765,Uganda
Psittacus erithacus,32.36418,0.199464,Uganda
Psittacus erithacus,32.65972,0.287998,Uganda
Psittacus erithacus,16.63943,-2.43763,"Congo, Democratic Republic of the"
Psittacus erithacus,34.218857,1.056471,Uganda
Psittacus erithacus,33.18943,0.442933,Uganda
Psittacus erithacus,16.502037,-2.484032,"Congo, Democratic Republic of the"
Psittacus erithacus,9.340437,-0.039218,Gabon
Psittacus erithacus,34.86852,0.233885,Kenya
Psittacus erithacus,9.621646,-2.11809,Gabon
Psittacus erithacus,32.556095,0.164476,Uganda
Psittacus erithacus,13.07794,1.1943,Gabon
Psittacus erithacus,-1.350449,6.105618,Ghana
Psittacus erithacus,34.881065,0.254639,Kenya
Psittacus erithacus,-2.578464,5.12294,Ghana
Psittacus erithacus,3.535502,6.436408,Nigeria
Psittacus erithacus,14.086552,1.37552,Gabon
Psittacus erithacus,32.574657,0.166037,Uganda
Psittacus erithacus,-2.736713,5.27946,Ghana
Psittacus erithacus,29.659014,-1.099866,Uganda
Psittacus erithacus,33.20215,0.430714,Uganda
Psittacus erithacus,12.87777,0.581939,Gabon
Psittacus erithacus,33.206905,0.423485,Uganda
Psittacus erithacus,7.352453,1.559654,Sao Tome and Principe
Psittacus erithacus,-2.566344,5.112471,Ghana
Psittacus erithacus,14.069821,-2.113352,Gabon
Psittacus erithacus,9.435275,0.63586,Gabon
Psittacus erithacus,32.371815,0.098657,Uganda
Psittacus erithacus,33.199707,0.42956,Uganda
Psittacus erithacus,33.19597,0.433749,Uganda
Psittacus erithacus,32.51567,0.149876,Uganda
Psittacus erithacus,33.19972,0.429178,Uganda
Psittacus erithacus,34.92315,0.212681,Kenya
Psittacus erithacus,16.35355,2.94358,Central African Republic
Psittacus erithacus,-1.38196,5.350061,Ghana
Psittacus erithacus,30.100088,0.799036,Uganda
Psittacus erithacus,31.538836,1.701416,Uganda
Psittacus erithacus,33.198723,0.436674,Uganda
Psittacus erithacus,9.247896,-0.03939,Gabon
Psittacus erithacus,32.40037,0.153192,Uganda
Psittacus erithacus,30.205014,0.504312,Uganda
Psittacus erithacus,-2.640255,5.244878,Ghana
Psittacus erithacus,-2.651111,5.216111,Ghana
Psittacus erithacus,30.419334,0.384827,Uganda
Psittacus erithacus,32.350613,0.076027,Uganda
Psittacus erithacus,16.25841,2.96469,Central African Republic
Psittacus erithacus,30.385414,0.400639,Uganda
Psittacus erithacus,16.36414,2.95436,Central African Republic
Psittacus erithacus,16.42958,2.913468,Central African Republic
Psittacus erithacus,30.399866,0.424603,Uganda
Psittacus erithacus,12.725472,3.368009,Cameroon
Psittacus erithacus,30.41084,0.398282,Uganda
Psittacus erithacus,32.661266,0.288955,Uganda
Psittacus erithacus,-2.581787,5.265666,Ghana
Psittacus erithacus,32.6247,0.2371,Uganda
Psittacus erithacus,-4.128132,5.331677,Côte d’Ivoire
Psittacus erithacus,7.451485,1.631839,Sao Tome and Principe
Psittacus erithacus,-4.128654,5.331668,Côte d’Ivoire
Psittacus erithacus,8.771753,3.746278,Equatorial Guinea
Psittacus erithacus,7.444077,1.667926,Sao Tome and Principe
Psittacus erithacus,30.411161,0.401292,Uganda
Psittacus erithacus,-4.128215,5.332691,Côte d’Ivoire
Psittacus erithacus,-4.135771,5.328548,Côte d’Ivoire
Psittacus erithacus,30.303051,0.516983,Uganda
Psittacus erithacus,16.232307,2.986002,Central African Republic
Psittacus erithacus,7.44928,1.673505,Sao Tome and Principe
Psittacus erithacus,-4.128065,5.330717,Côte d’Ivoire
Psittacus erithacus,-4.136433,5.328245,Côte d’Ivoire
Psittacus erithacus,8.668164,3.362331,Equatorial Guinea
Psittacus erithacus,10.59149,-2.342975,Gabon
Psittacus erithacus,7.432893,1.68359,Sao Tome and Principe
Psittacus erithacus,10.852518,1.573036,Equatorial Guinea
